title,total_ratings,install_million,avg_rating,growth_30days,growth_60days,Category,5_star_rating,4_star_rating,3_star_rating,2_star_rating,1_star_rating,price,paid
Paradise Island,976872,10,4,0,0,Simulation,631576,161006,82647,34326,67315,0,FALSE
Can You Escape,975608,10,4,0,0,Puzzle,611973,208216,82752,17876,54788,0,FALSE
Talking Tom Hero Dash - Run Game,974789,100,4,4.2,9,Action,711239,72360,43788,30322,117078,0,FALSE
Wordscapes,973750,50,4,1.3,3.1,Word,782878,86362,36481,20294,47732,0,FALSE
Happy Glass,968677,100,3,0.7,1.7,Puzzle,586764,100779,77199,50085,153849,0,FALSE
Arena of Valor: 5v5 Arena Game,963507,10,3,0.5,0.9,Action,547583,109014,62331,33309,211267,0,FALSE
Car Parking Multiplayer,961095,50,4,6.2,14.1,Simulation,722284,86105,41201,23345,88157,0,FALSE
WordBrain - Free classic word puzzle game,959675,10,4,0,0,Word,567896,293661,71260,10616,16239,0,FALSE
Knife Hit,955594,100,4,1.2,2.5,Arcade,684749,89958,58706,31681,90497,0,FALSE
Happy Mall Story: Sim Game,955109,10,4,0.4,0.8,Simulation,734006,130386,50647,13323,26745,0,FALSE
Archery Master 3D,955057,100,4,0.1,0.3,Sports,627644,108404,73468,34815,110723,0,FALSE
Save The Girl,952348,100,3,1.1,2.6,Casual,591803,80978,62429,48097,169038,0,FALSE
Stickman Party: 1 2 3 4 Player Games Free,949510,100,4,6.5,14,Arcade,736043,64772,37205,22355,89132,0,FALSE
Cooking Diary�: Tasty Restaurant & Cafe Game,945807,10,4,1.6,3.7,Simulation,716734,128526,45012,17630,37902,0,FALSE
Two Dots,944709,10,4,1.3,2.7,Puzzle,643024,163847,53900,21376,62560,0,FALSE
Tower of Saviors,941228,10,4,0.1,0.4,Puzzle,622828,101496,47377,20562,148963,0,FALSE
Smurfs' Village,941133,10,4,0.1,0.1,Casual,731661,81527,45176,19280,63487,0,FALSE
My Dolphin Show,939577,50,4,0.3,0.7,Casual,676889,96965,56485,26929,82307,0,FALSE
Clean Road,931389,50,4,0,0.1,Simulation,623758,97783,81972,36797,91077,0,FALSE
King of Avalon: Dominion,929429,50,4,2.5,6,Strategy,613067,155707,66444,21163,73046,0,FALSE
UNO!™,926432,50,4,3.6,6.9,Card,679554,83354,43036,22743,97743,0,FALSE
Zombie Smasher,926298,50,4,0.1,0.2,Arcade,671799,107479,61137,20868,65013,0,FALSE
Jackpot Party Casino Games: Spin FREE Casino Slots,925068,10,4,1,1.9,Casino,671012,153638,52961,14029,33425,0,FALSE
Green Farm 3,924595,10,4,0.4,0.7,Casual,571381,115687,76942,38875,121707,0,FALSE
Shoot Bubble Deluxe,924459,100,4,0,0.1,Puzzle,691718,101102,57033,19277,55325,0,FALSE
"Asphalt 8 Racing Game - Drive, Drift at Real Speed",924106,100,4,0,0.1,Racing,730045,75692,31616,15958,70792,0,FALSE
Pet Rescue Saga,921224,100,4,0,0,Casual,751461,107090,30751,10390,21529,0,FALSE
Idle Heroes,914423,10,4,1.1,2.1,RolePlaying,724371,77956,31174,14878,66041,0,FALSE
Farming Simulator 14,913357,100,4,0.9,1.7,Simulation,657566,71214,44473,29538,110563,0,FALSE
Soccer Star 2021 Top Leagues: Play the SOCCER game,911473,10,4,5546.9,1.9,Sports,632151,98242,55088,28447,97544,0,FALSE
"Good Pizza, Great Pizza",910777,50,4,2.1,5,Casual,651420,117048,52529,24633,65145,0,FALSE
RPG Toram Online - MMORPG,910412,10,4,805,1.9,RolePlaying,670148,130534,48808,15731,45189,0,FALSE
BombSquad,907609,10,4,0.7,1.4,Action,669505,94180,47135,22028,74760,0,FALSE
Real Football,907290,50,3,0.5,1.1,Sports,510826,90630,72909,43412,189511,0,FALSE
Stack Ball - Blast through platforms,903937,100,4,3.3,7.8,Arcade,602667,87709,60378,37674,115506,0,FALSE
PUBG MOBILE VN : KONG x GODZILLA,900069,10,4,1.5,2.3,Action,623089,74194,38393,22556,141835,0,FALSE
CSR Classics,899964,10,4,0,0.1,Racing,697561,102310,38678,12966,48447,0,FALSE
Head Football LaLiga 2021 - Skills Soccer Games,898768,10,4,0.1,0.2,Sports,620533,93797,48107,21740,114589,0,FALSE
Shakes and Fidget,898630,5,4,0.5,1.1,RolePlaying,695406,145860,32061,8424,16877,0,FALSE
Mobile Strike,897313,50,3,0.2,0.4,Strategy,491163,71390,71929,34966,227863,0,FALSE
Bloons TD Battles,896950,10,4,0.4,0.7,Strategy,614582,116548,53505,23239,89073,0,FALSE
BMX Boy,895239,100,4,0.2,0.3,Racing,654777,72957,50728,25429,91346,0,FALSE
The Secret Society - Hidden Objects Mystery,892542,5,4,0.1,0.1,Adventure,532135,214918,102189,19643,23655,0,FALSE
Tap Titans 2: Heroes Attack Titans. Clicker on!,887982,10,4,1,2.3,RolePlaying,696871,118164,38208,9681,25056,0,FALSE
Pirate Treasures - Gems Puzzle,884220,50,4,0.2,0.5,Puzzle,672791,95015,36419,18973,61021,0,FALSE
