title,total_ratings,install_million,avg_rating,growth_30days,growth_60days,Category,5_star_rating,4_star_rating,3_star_rating,2_star_rating,1_star_rating,price,paid
Furby BOOM!,655486,10,4,0,0,Casual,497030,57511,30349,13680,56912,0,FALSE
Solitaire TriPeaks: Play Free Solitaire Card Games,654922,10,4,1.1,2.1,Card,457634,120229,36631,12570,27855,0,FALSE
Turbo Driving Racing 3D,654903,50,4,0.8,1.6,Racing,461668,51409,36192,23100,82532,0,FALSE
ARK: Survival Evolved,653025,10,4,2.6,5.5,Adventure,422638,69283,42381,23676,95044,0,FALSE
Shopping Mall Girl - Dress Up & Style Game,652820,50,4,0.9,1.9,Casual,452065,54651,38207,25278,82615,0,FALSE
Weaphones™ Gun Sim Free Vol 1,651287,50,4,0.2,0.6,Simulation,470567,56357,36998,18998,68364,0,FALSE
Tricky Test 2™: Genius Brain?,649922,10,4,0,0.1,Trivia,559733,39931,17721,8106,24428,0,FALSE
Jackpot Slot Machines - Slots Era™ Vegas Casino,649856,5,4,0.8,1.8,Casino,476204,106016,39009,8107,20518,0,FALSE
Plants vs. Zombies™ 2 Free,649699,10,4,0.3,0.6,Casual,467599,79307,35546,17028,50216,0,FALSE
Mr Bullet - Spy Puzzles,649024,100,4,1,2.2,Puzzle,442810,71356,41422,23585,69849,0,FALSE
Make More! – Idle Manager,648290,10,4,0.9,1.7,Simulation,485935,70484,36921,15854,39093,0,FALSE
Mobile Legends: Adventure,644802,10,4,2.8,6.2,RolePlaying,513670,65317,20016,8845,36952,0,FALSE
Word search,644092,50,4,0,0,Word,438288,122199,48502,10315,24785,0,FALSE
LINE Bubble 2,643644,10,4,0.2,0.3,Puzzle,389089,106228,67787,21747,58790,0,FALSE
Golf Battle,643614,50,4,3,7,Sports,406123,98989,47508,21946,69046,0,FALSE
School Girls Simulator,643497,10,4,1.7,3.6,Simulation,481585,60163,28340,15861,57546,0,FALSE
Raft Survival: Ocean Nomad - Simulator,641259,50,4,4.4,9.2,Simulation,451269,73006,40541,19087,57353,0,FALSE
Rock Hero,640085,50,4,0,0.1,Music,416639,83385,63908,16319,59831,0,FALSE
Coach Bus Simulator,640012,10,4,0.5,1,Simulation,405565,72000,44204,24153,94088,0,FALSE
WorldCraft: 3D Build & Block Craft,637160,10,3,517.9,0.4,Adventure,334913,57505,45776,33167,165796,0,FALSE
Plants vs. Zombies™ Heroes,636439,10,4,1.2,2.3,Casual,454670,70717,34755,17372,58923,0,FALSE
Sky Roller,636293,100,4,2.1,4.8,Arcade,455906,62932,29296,20066,68091,0,FALSE
Driving School 2017,635669,10,4,0.4,0.9,Racing,460158,67101,32671,16480,59256,0,FALSE
Toilet Time: Boredom killer Fun Mini Games to Play,635321,10,4,0.1,0.2,Strategy,433140,77119,45368,18233,61458,0,FALSE
International Fashion Stylist - Dress Up Games,632926,10,4,2.4,5.1,RolePlaying,453861,77554,38017,16740,46752,0,FALSE
City Racing Lite,630972,10,4,2577.7,0.1,Racing,481202,56421,42201,12617,38529,0,FALSE
Twist Hit!,627963,10,4,0,0.1,Casual,456597,74051,44136,16750,36428,0,FALSE
Hello Kitty Nail Salon,627042,100,4,1.2,2.7,Casual,440620,46732,31244,22519,85924,0,FALSE
Geometry Dash SubZero,626542,50,4,2.6,4.7,Arcade,484878,59816,27043,11050,43753,0,FALSE
Sonic Forces – Multiplayer Racing & Battle Game,625580,50,4,2.4,4.5,Adventure,475950,58024,26954,14907,49743,0,FALSE
Disney Magic Kingdoms: Build Your Own Magical Park,624634,50,3,0.3,0.7,Simulation,378516,68203,42677,29034,106202,0,FALSE
Color Bump 3D,621232,100,3,1117.1,1107.1,Arcade,367867,71578,67163,34403,80219,0,FALSE
Linda Brown: Interactive Story,620435,10,4,0.2,0.5,Simulation,395363,65435,37895,23622,98118,0,FALSE
Draw it,620257,50,3,0.9,1.9,Arcade,355568,93220,54643,31418,85405,0,FALSE
MotoGP Racing '20,619717,10,4,0.8,1.6,Racing,401585,96573,51712,19328,50516,0,FALSE
Wordfeud Free,619037,10,4,0.1,0.3,Word,372307,186153,34938,8682,16954,0,FALSE
Caesars Slots: Casino Slots game,617349,10,4,0.9,1.8,Casino,424459,77519,39348,19359,56661,0,FALSE
myVEGAS Slots: Las Vegas Casino Games & Slots,616294,10,4,0,0,Casino,457055,82563,30766,13683,32225,0,FALSE
Chess - Play and Learn,615530,10,4,7.8,15.8,Board,493766,68026,19325,7219,27192,0,FALSE
Battle Camp - Monster Catching,612572,10,4,0,0,RolePlaying,412770,54959,36609,16832,91399,0,FALSE
Earn to Die Lite,611439,10,4,0.1,0.3,Racing,434421,43582,29734,17096,86604,0,FALSE
Fernanfloo,609853,10,4,0.2,0.4,Arcade,522395,32985,15337,7428,31705,0,FALSE
Soccer Star 2020 World Football: World Star Cup,609649,10,4,0.1,0.1,Sports,400158,69557,39896,19853,80183,0,FALSE
Solar Smash,609547,10,4,15.8,64.3,Simulation,479497,56553,26852,12237,34405,0,FALSE
Shooting Archery,609296,50,4,3.3,8.1,Sports,432282,94840,40134,12280,29758,0,FALSE
"Real Guitar Free - Chords, Tabs & Simulator Games",608905,50,3,0.4,0.7,Music,346418,57223,43330,24894,137038,0,FALSE
Mazes & More,608546,50,4,0.6,1.4,Puzzle,404176,74546,44217,22786,62819,0,FALSE
Drive and Park,607477,50,4,0.4,0.6,Simulation,428415,70221,44605,18880,45354,0,FALSE
WWE SuperCard - Battle Cards,606187,10,4,0.2,0.6,Sports,430874,67636,29880,16510,61285,0,FALSE
Board Kings™️: Fun Board Games,605422,10,4,3.2,6.5,Casual,473424,51048,22893,13584,44471,0,FALSE
High School Story,604400,10,4,0,0,Simulation,458884,69985,33454,11517,30557,0,FALSE
Moy 3 - Virtual Pet Game,603781,10,4,0,0.1,Casual,462582,58790,33494,11913,36999,0,FALSE
Castle Clash: Dominio del Reino,602797,5,4,0.1,0.2,Strategy,433538,59595,35035,13775,60851,0,FALSE
Fish Live,602123,10,4,0,0.1,Casual,459046,63875,35736,10925,32537,0,FALSE
Bingo Showdown Free Bingo Games – Bingo Live Game,598584,5,4,0.2,0.4,Board,481850,54404,28767,10827,22734,0,FALSE
Ludo Star 2,597656,10,4,2.8,5.5,Board,416103,46952,33058,18737,82805,0,FALSE
My Candy Love - Episode / Otome game,597411,10,4,0.5,0.8,RolePlaying,369440,84434,46630,23095,73810,0,FALSE
Matches Puzzle Game,596554,10,4,0.2,0.4,Puzzle,411377,105903,41525,11585,26160,0,FALSE
"Day R Survival – Apocalypse, Lone Survivor and RPG",594700,10,4,0.8,1.7,RolePlaying,450467,74953,23915,12207,33155,0,FALSE
Draw Something Classic,594298,50,4,0,0,Word,351126,133461,52620,18611,38479,0,FALSE
Car Simulator 2,593269,10,4,3.9,8.6,Simulation,459452,47555,22115,13771,50373,0,FALSE
Family Island™ - Farm game adventure,592625,10,4,10,19.3,Casual,411401,90484,39822,15183,35732,0,FALSE
Cartoon Wars,588562,10,4,0,0,Arcade,376960,58234,42194,17599,93573,0,FALSE
Sudoku,584124,10,4,0.1,0.2,Puzzle,458061,106350,10329,2675,6707,0,FALSE
DH Texas Poker - Texas Hold'em,583815,10,4,0,0.1,Casino,380317,79701,41575,16718,65502,0,FALSE
Run,581821,10,4,77.5,0.3,Arcade,450597,64012,26420,9972,30817,0,FALSE
Garena Speed Drifters,577754,10,4,0.5,1.2,Racing,376407,52922,35205,20118,93100,0,FALSE
Rally Racer Dirt,577204,50,4,0.1,0.3,Racing,394695,73535,38827,17438,52706,0,FALSE
Winner Soccer Evo Elite,574059,10,4,1,2.2,Sports,411806,56784,33689,16799,54978,0,FALSE
Snake VS Block,572863,50,4,0.1,0.2,Arcade,323922,96008,55435,27358,70138,0,FALSE
Bud Farm: Grass Roots,572365,10,4,0.1,0.1,Simulation,464939,68293,16484,6583,16064,0,FALSE
Don't get fired!,572359,5,4,1,2,RolePlaying,382074,94649,39645,14670,41319,0,FALSE
Marble Legend,571570,50,4,0,0,Puzzle,383776,73557,55320,16169,42746,0,FALSE
知識王,571355,1,4,0,0,Educational,395665,71737,37756,15358,50837,0,FALSE
Cytus,571244,5,4,0.1,0.2,Music,463607,48438,17949,10009,31239,0,FALSE
Cow Evolution: Crazy Cow Making Idle Merge Games,570955,10,4,0.3,0.5,Casual,443937,66232,26738,10215,23830,0,FALSE
Hello Stars,570345,50,4,0,0,Puzzle,420021,43026,30999,18902,57395,0,FALSE
Final Fantasy XV: A New Empire,569186,10,3,0,0,Strategy,304445,59056,36586,24957,144139,0,FALSE
LifeAfter,569162,10,3,1.4,3.4,RolePlaying,368097,37701,30963,21455,110945,0,FALSE
Dead Ahead: Zombie Warfare,568510,5,4,0.5,0.9,Strategy,392543,103364,34155,12562,25883,0,FALSE
BlockBuild: Craft Your Dream World,568174,10,4,0.1,0.2,Casual,364726,54802,38870,19860,89914,0,FALSE
Paradise Island 2: Hotel Game,567668,10,4,0.3,0.7,Casual,392672,118389,23787,8741,24077,0,FALSE
Okey,567662,10,4,0.2,0.4,Board,460779,36966,21660,10130,38125,0,FALSE
Wood Block Puzzle,565614,50,4,0.1,0.3,Puzzle,429284,45646,29382,15814,45486,0,FALSE
Lapse: A Forgotten Future,562637,10,4,0.5,1.1,Strategy,434058,81401,22158,8120,16898,0,FALSE
Gin Rummy Plus,561518,10,4,0.8,1.6,Card,426538,60455,24904,10746,38873,0,FALSE
Zombie World War,561461,10,4,0,0.1,Arcade,344081,93766,60771,20160,42680,0,FALSE
Basketball Shoot,560180,10,4,0,0,Sports,367273,81332,43836,18658,49078,0,FALSE
F1 Clash,559157,5,4,4.8,10.1,Racing,316445,126788,52399,16657,46866,0,FALSE
Rally Fury - Extreme Racing,558462,50,4,4.4,10.1,Racing,409899,59875,29768,13972,44946,0,FALSE
Inotia 4,558013,5,4,0.1,0.1,RolePlaying,395714,92102,34423,9208,26564,0,FALSE
My Boy! Free - GBA Emulator,556766,10,4,0.3,0.6,Arcade,417025,52081,24677,10020,52961,0,FALSE
Gold Fish Casino Slots - FREE Slot Machine Games,556639,10,4,0.3,0.5,Casino,459497,44454,15369,7774,29543,0,FALSE
Kiss Kiss: Spin the Bottle for Chatting & Fun,556525,10,4,5.5,11.8,Casual,438288,22770,12779,9891,72795,0,FALSE
Dragon Village,556175,5,4,0.1,0.2,RolePlaying,407087,51168,33739,13251,50928,0,FALSE
Fire Emblem Heroes,555485,5,4,0.5,1,Simulation,394139,85652,31238,12687,31767,0,FALSE
Checkers,554532,100,4,1.4,3,Board,371827,69515,37892,18726,56569,0,FALSE
RealmCraft with Skins Export to Minecraft,554454,50,4,2,4.4,Adventure,378346,47366,27814,19163,81761,0,FALSE
Harry Potter: Puzzles & Spells - Match-3 Magic,554434,10,4,6.3,13.3,Puzzle,474823,41233,15227,7257,15890,0,FALSE
MARVEL Strike Force - Squad RPG,553833,10,3,1.6,3.3,RolePlaying,281401,76022,42302,49578,104528,0,FALSE
DEEMO,552415,5,4,0.1,0.2,Music,461266,43525,16200,7865,23556,0,FALSE
Hi Cooking,552049,10,4,0.1,0.1,Simulation,427302,50508,31366,12153,30718,0,FALSE
LINE: Disney Tsum Tsum,550425,10,4,0.1,251.7,Puzzle,357903,75666,39518,18329,59007,0,FALSE
Racing Fever: Moto,549630,50,4,1.2,6004.4,Racing,393808,49832,30694,18239,57054,0,FALSE
House Designer : Fix & Flip,549049,50,4,2.3,5.1,Adventure,361061,64373,35178,20635,67799,0,FALSE
Game of Sultans,547967,10,4,4.9,8.5,RolePlaying,378419,75961,30792,13367,49425,0,FALSE
Easy Game - Brain Test and Tricky Mind Puzzles,547548,10,4,1.1,2.5,Puzzle,389864,72820,30413,13849,40600,0,FALSE
Block! Hexa Puzzle™,546820,50,3,0,0.1,Puzzle,300160,90111,49226,29196,78124,0,FALSE
Beggar Life - Clicker adventure,545166,5,4,0.1,0,Adventure,367186,59836,37681,19145,61316,0,FALSE
BLACKJACK!,544905,10,4,0,0.1,Casino,392404,100738,26490,5663,19608,0,FALSE
Heroes Evolved,544851,10,3,0.3,0.6,Strategy,292552,45804,41854,27186,137452,0,FALSE
Idle Supermarket Tycoon - Tiny Shop Game,543795,10,4,0.5,481.5,Simulation,347069,84658,45262,20402,46402,0,FALSE
Burrito Bison: Launcha Libre,541549,10,4,1.4,2.4,Arcade,450604,55216,17728,5449,12549,0,FALSE
Sweet Fruit Candy,541211,50,4,1,2.1,Puzzle,380589,73442,37922,13378,35878,0,FALSE
Moy 2 - Virtual Pet Game,540665,10,4,0.1,0.3,Casual,389914,49587,35329,16166,49667,0,FALSE
Cut the Rope: Experiments,540007,50,4,444.6,0,Puzzle,387875,56186,34325,15360,46259,0,FALSE
Lost Island: Blast Adventure,539618,10,4,0.4,0.9,Casual,392042,84757,31131,10657,21028,0,FALSE
Sky: Children of the Light,538673,10,4,4.4,9.4,RolePlaying,438556,47143,16802,7679,28491,0,FALSE
NBA LIVE Mobile Basketball,535002,50,4,0.1,0.2,Sports,386021,57440,25220,13740,52580,0,FALSE
Spider Solitaire,533216,10,4,1.1,2.4,Card,396321,89813,23855,6905,16319,0,FALSE
Bricks Ball Crusher,532569,10,4,2.7,5.9,Arcade,395621,48350,27559,12339,48696,0,FALSE
Animation Throwdown: The Collectible Card Game,532248,10,4,0.4,0.7,Adventure,371942,93262,27248,11087,28706,0,FALSE
Daddy Long Legs,532176,10,4,0,0,Arcade,353695,83149,33681,15527,46122,0,FALSE
Stupid Zombies 3,532119,10,4,0.2,0.5,Casual,391786,63353,34261,12140,30576,0,FALSE
House Paint,530612,50,4,0.4,0.8,Puzzle,342051,69406,45347,23688,50117,0,FALSE
Jurassic World Alive,530520,10,4,0.9,1.8,Adventure,372553,68645,29737,14509,45074,0,FALSE
Escape the Mansion,528900,5,4,0.1,0.1,Puzzle,374132,91668,41509,8309,13279,0,FALSE
Seekers Notes: Hidden Mystery,526594,10,4,0.6,1.2,Adventure,329694,100003,44311,18809,33774,0,FALSE
Idle Sightseeing Train - Game of Train Transport,526404,1,4,625.9,1251.8,Casual,332168,78207,48369,16909,50748,0,FALSE
Badminton League,525279,50,4,0.6,1.6,Sports,330363,53611,38069,23007,80227,0,FALSE
Dawn of Titans: War Strategy RPG,524835,5,4,0.1,0.2,Strategy,341458,71787,26215,12587,72786,0,FALSE
Age of Warring Empire,524462,10,4,0,0,RolePlaying,345143,79079,36211,14372,49655,0,FALSE
EA SPORTS™ FIFA 21 Companion,523056,10,3,0.6,1.5,Sports,299326,64282,33360,20314,105772,0,FALSE
Dumb Ways to Die,521999,50,4,0.3,0.6,Casual,333246,64379,41810,21779,60782,0,FALSE
Block Puzzle - Free Classic Wood Block Puzzle Game,521894,10,4,5.8,13.3,Puzzle,355232,108346,38485,6823,13005,0,FALSE
Dig This!,520896,50,4,0.5,1.1,Puzzle,367445,72031,23863,14116,43438,0,FALSE
Animal Jam,519854,10,4,0.4,0.8,Educational,330550,67983,37226,19708,64384,0,FALSE
레이븐 : LEGION,518434,5,4,0,0.2,RolePlaying,324117,79581,37928,14686,62119,0,FALSE
Brain Wars,518428,10,4,0,353.1,Puzzle,358319,108094,26601,6815,18597,0,FALSE
Crusaders Quest,516540,5,4,0.1,0.1,RolePlaying,394331,59201,21524,8270,33211,0,FALSE
Galaxy Legend - Cosmic Conquest Sci-Fi Game,514023,10,4,0,0,RolePlaying,316918,65188,37865,15150,78899,0,FALSE
"My Bakery Empire - Bake, Decorate & Serve Cakes",513522,100,4,2.3,5,RolePlaying,361164,40462,27413,18348,66132,0,FALSE
Real Drift Car Racing Lite,513359,10,4,0.1,0.2,Racing,381134,53191,30260,10921,37851,0,FALSE
Bubble Shooter,513273,100,4,0.3,0.6,Casual,356049,63918,35560,16181,41563,0,FALSE
Nonogram.com - Picture cross number puzzle,512643,10,4,3.2,6.7,Puzzle,357322,101120,28132,8286,17780,0,FALSE
Gummy Drop! Match to restore and build cities,510656,10,4,0.1,0.2,Puzzle,337321,78723,33993,15936,44680,0,FALSE
Fruit Block - Puzzle Legend,510146,10,4,1914.7,1.7,Casual,338839,73912,48046,16253,33093,0,FALSE
Charm King,509754,10,4,0.1,0.2,Puzzle,373628,59435,26925,12778,36986,0,FALSE
Galactic Attack - Classic Shooter : Falcon Squad,509654,50,4,1.8,3,Arcade,407365,41520,18908,9863,31996,0,FALSE
MadOut2 BigCityOnline,508166,10,4,3.8,8.3,Racing,347602,56038,29117,15751,59656,0,FALSE
Stickman Hook,506876,50,3,0.5,1.2,Arcade,290763,74910,50722,25625,64853,0,FALSE
Mystery Manor: hidden objects,505541,10,4,2.3,5.3,Adventure,359523,111661,17212,5896,11246,0,FALSE
Heroes Charge,504968,10,4,0.6,1.6,RolePlaying,439888,10359,8749,6339,39629,0,FALSE
Ultimate Car Driving Simulator,503879,50,4,2.2,4.8,Racing,353448,45177,27142,16616,61494,0,FALSE
Operate Now: Hospital - Surgery Simulator Game,503826,50,3,0.4,0.8,RolePlaying,289263,38358,35005,28656,112541,0,FALSE
School of Chaos Online MMORPG,503643,10,4,0.2,0.5,RolePlaying,335781,35856,25781,18113,88109,0,FALSE
Gemmy Lands: New Match 3 Games 2021 to Crush Gems,502640,10,4,0.3,0.5,Puzzle,399600,55407,20951,6877,19802,0,FALSE
World Truck Driving Simulator,502248,10,4,3.4,6.4,Simulation,372965,50894,23747,11770,42870,0,FALSE
Toy Defence 2 — Tower Defense game,501511,10,4,0.4,0.8,Strategy,320724,112757,39353,9751,18924,0,FALSE
Word Link,501384,50,4,0,0,Word,366058,57001,26960,10931,40431,0,FALSE
Taxi Game,501382,50,3,0,0,Simulation,249117,39864,38725,33320,140354,0,FALSE
Truco Blyts,501154,10,4,0.6,1.2,Card,353392,85751,30329,9306,22372,0,FALSE
Energy: Anti Stress Loops,499265,10,4,3.6,6.7,Puzzle,408802,62489,14505,4285,9181,0,FALSE
Soccer Cup 2021: Free Football Games,498485,50,4,2.3,4.6,Sports,332313,51049,33983,17175,63963,0,FALSE
Stickman Soccer - Classic,498367,10,4,0,0.1,Sports,360612,57971,33439,10326,36018,0,FALSE
Island Experiment,497556,10,4,0,0,Casual,220970,146774,82128,15085,32597,0,FALSE
Jewels Legend - Match 3 Puzzle,497484,10,4,0.4,0.8,Arcade,405757,48566,18492,6533,18133,0,FALSE
Soccer Super Star,496476,50,4,10.8,27.3,Sports,350549,65548,33569,11808,35000,0,FALSE
Words Story - Addictive Word Game,496119,50,3,0.1,0.2,Word,272448,47916,39085,30303,106365,0,FALSE
Random Dice: PvP Defense,495783,5,4,1.9,3.6,Strategy,316232,65590,33735,15012,65212,0,FALSE
Crab War : Idle Swarm Evolution,495725,5,4,0.4,0.8,Adventure,368974,72587,28261,8217,17684,0,FALSE
My Story: Choose Your Own Path,495240,10,4,0.1,0.3,Simulation,315630,70759,43914,18950,45984,0,FALSE
Poker Games: World Poker Club,494492,10,4,0.6,1.2,Card,405050,31047,9361,5998,43034,0,FALSE
South Park: Phone Destroyer™ - Battle Card Game,494150,10,4,0.6,1.3,Strategy,362231,60537,23406,12899,35075,0,FALSE
Ninja Turtles: Legends,494101,10,4,1,1.9,RolePlaying,368890,45042,22761,12633,44773,0,FALSE
Hit it Rich! Lucky Vegas Casino Slot Machine Game,493071,5,4,0.2,0.5,Casino,344195,68441,30992,14931,34510,0,FALSE
Cyber Hunter,491846,10,4,0.5,0.9,Adventure,312123,47791,31641,19418,80871,0,FALSE
Brain It On! - Physics Puzzles,491439,50,4,0.1,0.2,Puzzle,318746,82552,32565,17102,40471,0,FALSE
Find The Differences - The Detective,490970,50,4,0,0,Puzzle,324781,38060,31659,22752,73715,0,FALSE
Public Transport Simulator,490931,10,4,0.5,1.1,Simulation,336153,55303,30560,16791,52121,0,FALSE
Grim Soul: Dark Fantasy Survival,490756,10,4,1.8,4.4,RolePlaying,337466,79331,29799,12802,31356,0,FALSE
Disney Emoji Blitz,489067,10,4,0.6,1.3,Puzzle,325679,78321,33920,15720,35425,0,FALSE
The Seven Deadly Sins: Grand Cross,487726,10,4,2.5,6.5,RolePlaying,332747,53409,25678,14273,61616,0,FALSE
"Braindom: Tricky Brain Teasers, Test, Riddle Games",487582,10,4,9.5,23,Word,412226,28805,13965,6683,25900,0,FALSE
Bubble Shooter,487206,100,4,0.5,1.1,Casual,339101,60100,31478,14670,41854,0,FALSE
Diggy's Adventure: Mine Maze Levels & Pipe Puzzles,486767,10,4,0.7,1.7,Adventure,335639,79203,27697,11655,32572,0,FALSE
Castle Clash: King's Castle DE,486733,5,4,0.1,0.2,Strategy,340025,50808,29083,12367,54448,0,FALSE
Cash Frenzy™ Casino – Free Slots Games,485882,10,4,0.2,0.5,Casino,404060,44200,14354,6230,17036,0,FALSE
Clash of Lords: Guild Castle,485836,5,4,0,0,Strategy,383318,46683,22748,7652,25432,0,FALSE
Troll Face Quest: Video Memes - Brain Game,485621,10,4,0.1,0.3,Puzzle,335295,44072,31284,17077,57890,0,FALSE
Legends of Runeterra,485069,10,4,1.6,3.3,Card,389106,51098,13716,6473,24675,0,FALSE
Stickman Dismounting,482519,10,4,0.3,0.6,Simulation,325745,62787,34580,15140,44265,0,FALSE
Wizard of Oz Free Slots Casino,482246,10,4,0.4,0.9,Casino,377560,57203,20891,7865,18725,0,FALSE
Slugterra: Slug it Out 2,481615,10,4,6.2,12,Puzzle,412995,32366,11448,5054,19749,0,FALSE
Dummy,477132,10,4,227105.7,2.2,Casino,367411,48463,28359,9074,23822,0,FALSE
BBTAN by 111%,476858,10,4,2948.2,0.1,Arcade,329614,64312,32355,11652,38924,0,FALSE
Moy 4 - Virtual Pet Game,476520,10,4,0.1,0.3,Casual,355557,44409,26769,12156,37627,0,FALSE
TTS Pintar 2021 - Teka Teki Silang Offline,476458,10,4,0.8,1.6,Word,349671,71362,32006,8438,14979,0,FALSE
Ninja Arashi,476258,10,4,1.2,2.7,Adventure,371122,46567,19971,9337,29259,0,FALSE
Moy - Virtual Pet Game,475705,10,4,0.1,0.1,Casual,335504,44683,31325,13678,50513,0,FALSE
Order & Chaos Online 3D MMORPG,474469,5,4,0,0,RolePlaying,321723,49520,26088,13438,63697,0,FALSE
Prize Claw,473706,50,4,0.1,0.1,Arcade,296894,49159,43940,18046,65665,0,FALSE
BINGO!,470850,10,4,0.3,0.7,Board,396719,31773,15341,6226,20788,0,FALSE
Cut the Rope: Magic,470475,10,4,0.1,0.2,Puzzle,346937,60356,26756,10175,26247,0,FALSE
Ball Blast,470099,10,4,0.9,1.8,Arcade,315988,61332,27827,14373,50577,0,FALSE
Deck Heroes: Legacy,469770,10,4,0,0,Card,341845,41158,25636,13347,47782,0,FALSE
My Town: Home Doll house - Family Playhouse,469665,10,4,3.7,7.9,Educational,338284,37308,23232,16939,53900,0,FALSE
High School Simulator 2018,469556,10,4,2.2,4.9,Simulation,319312,49141,28495,16144,56462,0,FALSE
Word Streak-Words With Friends,469540,10,4,0.1,0.3,Word,290381,116449,28401,11911,22396,0,FALSE
HappyFish,469274,1,4,0,0.1,Casual,348400,68745,30278,5392,16457,0,FALSE
LANDLORD TYCOON Business Management Investing Game,467655,5,4,0.4,0.8,Board,339411,65520,18573,8821,35327,0,FALSE
Durak Online,467621,10,3,37994.4,2.6,Card,275963,46108,26591,15940,103016,0,FALSE
Will Hero,467497,10,4,0.6,1.5,Arcade,317484,54366,29299,12418,53927,0,FALSE
Angry Birds Evolution 2021,467209,10,4,0.2,0.4,RolePlaying,317412,59037,28604,14791,47363,0,FALSE
Crazy for Speed,466732,10,4,1911.2,0.7,Racing,336061,39673,28533,15418,47044,0,FALSE
Backgammon Plus,466525,5,3,2212.2,0.2,Board,271493,22728,15722,8505,148075,0,FALSE
Monster Dash,466518,10,4,0.1,0.1,Arcade,340776,51499,28569,9164,36508,0,FALSE
Mad Skills Motocross 2,464730,10,4,0.2,0.4,Racing,319470,50982,29079,14405,50792,0,FALSE
King's Throne: Game of Conquest,464201,1,4,5,9,RolePlaying,259353,118989,61879,10613,13364,0,FALSE
That Level Again,464014,10,4,0.5,1,Puzzle,383178,42022,15107,6078,17626,0,FALSE
AVABEL ONLINE [Action MMORPG],463791,10,4,0.2,0.3,RolePlaying,263061,79102,55812,17289,48525,0,FALSE
Train Taxi,463260,50,4,752,0.9,Puzzle,294864,57247,41036,22447,47663,0,FALSE
Match Masters,462861,10,4,24,49.3,Casual,328311,64534,28243,9107,32664,0,FALSE
Gacha Studio (Anime Dress Up),462460,10,3,0.7,1.4,Casual,278605,46716,34234,22630,80272,0,FALSE
Sudoku,462036,10,4,172.6,0.5,Puzzle,375734,64079,10145,3534,8542,0,FALSE
Car Mechanic Simulator 21,461516,10,4,4.7,8.2,Simulation,328638,72163,33136,9419,18158,0,FALSE
Duet,460549,10,4,0.2,0.3,Arcade,368057,49159,18102,6607,18622,0,FALSE
"ASolver - show me the puzzle, and I will solve it",460315,5,4,28.9,113.2,Puzzle,361695,36463,18076,9353,34725,0,FALSE
"Avatar Life - fun, love & games in virtual world!",460207,10,4,0.6,1.4,Simulation,290673,63017,32312,15512,58692,0,FALSE
Indian Train Simulator,459870,10,4,1,1.9,Simulation,296424,48785,31277,19678,63704,0,FALSE
Crazy Kitchen: Match 3 Puzzles,459320,10,4,0,0.1,Puzzle,398796,37824,12018,3187,7492,0,FALSE
Seven Knights,459149,10,4,0,0.1,RolePlaying,316149,44853,25447,15270,57427,0,FALSE
Cooking Dash,458766,10,4,0.1,0.2,Casual,279541,73007,41708,20739,43768,0,FALSE
Infinite Stairs,458684,10,4,1.3,2.5,Arcade,308505,50335,25797,12264,61781,0,FALSE
Golf Star™,457537,10,4,0.1,0,Sports,271186,85186,31744,14167,55251,0,FALSE
Empires and Allies,457050,10,4,0.2,0.4,Strategy,314731,62310,26605,11998,41403,0,FALSE
Fanatical Football,456387,10,4,121.6,0.1,Sports,298062,52142,31748,14031,60401,0,FALSE
Full House Casino - Free Vegas Slots Machine Games,455282,5,4,0.1,0.1,Casino,365871,33169,22482,7247,26511,0,FALSE
⚽Puppet Soccer 2014 - Big Head Football 🏆,455149,10,4,0.4,0.8,Sports,300993,36779,23933,16155,77287,0,FALSE
Tebak Gambar,453317,10,4,0.2,0.4,Puzzle,311581,43790,31309,17438,49197,0,FALSE
Battle Disc,452939,10,4,1.1,1.4,Simulation,312223,51549,35188,15361,38614,0,FALSE
Shooting Ball,452591,10,4,4,9.2,Sports,305232,80398,36170,10098,20691,0,FALSE
Build a Bridge!,451860,10,4,0.6,1.2,Puzzle,286839,63628,36663,17826,46901,0,FALSE
Slendrina:The Cellar (Free),449205,10,4,0.6,1.3,Arcade,311382,35677,23861,16154,62128,0,FALSE
Run Sausage Run!,448716,100,3,0.5,1.2,Arcade,271968,45329,35060,22824,73533,0,FALSE
Basketball Mania,448601,10,4,0,0,Sports,302450,61581,37015,13418,34135,0,FALSE
Bingo Bash featuring MONOPOLY: Live Bingo Games,447613,10,4,0,0,Board,344284,45999,23309,12179,21840,0,FALSE
Human Evolution Clicker: Tap and Evolve Life Forms,447522,10,4,990.2,0.7,Arcade,268067,58110,41935,22944,56463,0,FALSE
Mini Warriors,447416,5,4,0,0,Strategy,300485,52687,22901,11410,59931,0,FALSE
Heavy Bus Simulator,447230,10,4,0.4,0.9,Simulation,295736,49354,27584,15716,58838,0,FALSE
Sky Force 2014,446946,10,4,0.1,0.2,Arcade,331761,57741,25895,9077,22469,0,FALSE
Volleyball Champions 3D - Online Sports Game,446911,10,4,0.1,0.3,Sports,272730,64568,43604,17995,48011,0,FALSE
Real City Car Driver,445846,50,3,0.4,0.9,Racing,285166,27715,26917,17393,88652,0,FALSE
Word Academy,444744,5,4,0.1,0.3,Word,278942,118805,37241,3989,5764,0,FALSE
Basketball Battle,444198,10,4,0.2,0.5,Sports,320223,52837,27370,12160,31606,0,FALSE
